fips,mtfcc,lane_miles
6015,S1100,18.32407811016396
6015,S1200,312.0665345987203
6015,S1400,4144.08871314759
6017,S1100,422.59511964710396
6017,S1200,632.9171733320354
6017,S1400,8699.92597377068
6019,S1100,1540.1613548072128
6019,S1200,2155.128438598801
6019,S1400,26099.937324365837
6021,S1100,232.6865517462678
6021,S1200,433.99015080401307
6021,S1400,5413.6609430349
6023,S1100,1199.0438469869098
6023,S1200,985.3588257900471
6023,S1400,14849.874542666432
6025,S1100,747.4932347745495
6025,S1200,2010.2596281185417
6025,S1400,11049.373672268037
6027,S1200,1775.6779112296645
6027,S1400,11154.342291022545
6029,S1100,1759.2316126907594
6029,S1200,3387.689084899154
6029,S1400,43347.66580405168
6031,S1100,660.9958731684237
6031,S1200,553.5860911042618
6031,S1400,8054.060303232263
6033,S1100,56.07078033571184
6033,S1200,294.54712564614204
6033,S1400,8639.91756694619
6035,S1200,726.0821302374931
6035,S1400,14049.924562884733
6037,S1100,8924.598809047493
6037,S1200,3398.079845884237
6037,S1400,59065.7116787645
6039,S1100,362.7169945453979
6039,S1200,1196.254464721174
6039,S1400,9563.626565126726
6041,S1100,435.9097835341
6041,S1200,268.5881199860211
6041,S1400,3973.394125572584
6043,S1200,951.2173100556984
6043,S1400,4352.719019197943
6045,S1100,310.4277033057315
6045,S1200,1574.1411064305955
6045,S1400,15028.89504352485
6047,S1100,985.6781189837154
6047,S1200,831.5395647459756
6047,S1400,9392.360826507702
6049,S1200,441.94467170094526
6049,S1400,12408.75400363548
6051,S1200,942.713997589605
6051,S1400,5339.823218202042
6053,S1100,1641.3534461252584
6053,S1200,921.7721546870229
6053,S1400,15426.79170960975
6055,S1100,56.170557319766914
6055,S1200,564.8173799010519
6055,S1400,2251.9494042026563
6057,S1100,439.48952024459044
6057,S1200,201.19832869200556
6057,S1400,7390.303831605436
6059,S1100,3079.3798327354757
6059,S1200,762.2358780515868
6059,S1400,18961.214803524355
6061,S1100,676.1834274640265
6061,S1200,341.29185627258346
6061,S1400,9288.387212237383
6063,S1200,586.5572207615058
6063,S1400,11206.072212624269
6065,S1100,2921.327740776646
6065,S1200,2112.000406732543
6065,S1400,32713.848157697947
6067,S1100,1590.8490328215737
6067,S1200,513.9946808498747
6067,S1400,11950.684833772046
6069,S1100,174.55477408284275
6069,S1200,403.15143329435904
6069,S1400,4622.614377871164
6071,S1100,7098.397281490933
6071,S1200,2598.3543196076907
6071,S1400,59192.38976561287
6073,S1100,4848.980024406518
6073,S1200,3636.5404959062303
6073,S1400,27299.768257691456
6075,S1100,241.9036575870161
6075,S1200,93.88484330067524
6075,S1400,2324.784389865708
6077,S1100,1054.3038328652126
6077,S1200,717.8226514677393
6077,S1400,8932.523506499005
6079,S1100,723.1291314249085
6079,S1200,1680.4119680075707
6079,S1400,14962.670769565782
6081,S1100,1278.2121751858654
6081,S1200,794.0134628619159
6081,S1400,4994.414934290235
6083,S1100,905.9071812674886
6083,S1200,1359.7648667424041
6083,S1400,9882.281859421695
6085,S1100,2199.621333606791
